'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0312H048','48',' 23/1 - 0075','Prenzlauer Berg','10439','Gudvanger Straße','23','24796.71','26375.96',13.424579548800000595,52.550057807100003515,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','1','','','GEPFLANZT',647,0,1,'',NULL
'0312H049','49',' 24/1 - 0009','Prenzlauer Berg','10439','Gudvanger Straße','24','24770.60','26374.27',13.424551137699999970,52.549824108599999306,'3','Prunus serrul.\"Kanzan\"','Japanische Blütenkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',648,0,1,'',NULL
'0312H050','50',' 26/1 - 0011','Prenzlauer Berg','10439','Gudvanger Straße','26','24801.86','26395.75',13.424874183200000033,52.550103242100000500,'3','Prunus serrul.\"Kanzan\"','Japanische Blütenkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',649,0,1,'',NULL
'0312H051','51',' 27/1 - 0027','Prenzlauer Berg','10439','Gudvanger Straße','27','24819.60','26391.78',13.424814473299999662,52.550264898000001779,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',650,0,1,'',NULL
'0312H052','52',' 31/2 - 0066','Prenzlauer Berg','10439','Gudvanger Straße','31','24866.36','26424.70',13.425299070899999521,52.550679103500002043,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','3','','','GEPFLANZT',651,0,1,'',NULL
'0312H053','53',' 37/1 - 0073','Prenzlauer Berg','10439','Gudvanger Straße','37','24895.81','26444.92',13.425592683899999713,52.550949198399997897,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','1','','','GEPFLANZT',652,0,1,'',NULL
'0312H054','54',' 41/1 - 0023','Prenzlauer Berg','10439','Gudvanger Straße','41','24913.25','26456.84',13.425768894400000875,52.551102268500002879,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',653,0,1,'',NULL
'0312H055','55',' 42/1 - 0069','Prenzlauer Berg','10439','Gudvanger Straße','42','24938.23','26490.24',13.426254369500000507,52.551327754200002573,'4','Prunus serrul.\"Kanzan\"','Japanische Blütenkirsche','','2','','x','','2','','','GEPFLANZT',654,0,1,'',NULL
'0312H056','56',' 44/2 - 0065','Prenzlauer Berg','10439','Gudvanger Straße','44','24952.92','26500.28',13.426401180599999208,52.551462800499997741,'4','Prunus serrul.\"Kanzan\"','Japanische Blütenkirsche','','2','','x','','2','','','GEPFLANZT',655,0,1,'',NULL
'0312H057','57',' 47/1 - 0080','Prenzlauer Berg','10439','Gudvanger Straße','47','24945.84','26479.21',13.426091874999999121,52.551399371499996960,'2','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','','GEPFLANZT',656,0,1,'',NULL
'0312H058','58',' 50/1 - 0074','Prenzlauer Berg','10439','Gudvanger Straße','50','24991.28','26526.94',13.426797677099999717,52.551804958499999998,'4','Prunus serrul.\"Kanzan\"','Japanische Blütenkirsche','','2','','x','','3','','','GEPFLANZT',657,0,1,'',NULL
